geo	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Austria	8507786	8584926	8700471	8772865	8822267	8858775	8901064	8932664	8978929	9104772
Belgium	11180840	11237274	11311117	11351727	11398589	11455519	11522440	11554767	11617623	11742796
Swizerland	8139631	8237666	8327126	8419550	8484130	8544527	8606033	8670300	8738791	8815385
Germany	80767463	81197537	82175684	82521653	82792351	83019213	83166711	83155031	83237124	84358845
Denmark	5627235	5659715	5707251	5748769	5781190	5806081	5822763	5840045	5873420	5932654
Greece	10926807	10858018	10783748	10768193	10741165	10724599	10718565	10678632	10459782 b	10413982
Spain	46512199	46449565	46440099	46528024	46658447	46937060	47332614	47398695	47432893	48085361
Finnland	5451270	5471753	5487308	5503297	5513130	5517919	5525292	5533793	5548241	5563970
France	66165980 b	66458153	66638391	66809816	67026224 p	67290471	67473651	67728568	67957053 p	68172977 p
Ireland	4637852	4677627	4726286	4784383	4830392	4904240 e	4964440	5006324	5060004	5271395
Iceland	325671	329100	332529	338349	348450	356991	364134	368792	376248	387758
Italy	60345917	60295497	60163712	60066734	59937769	59816673 b	59641488	59236213	59030133	58997201
Luxembourg	549680	562958	576249	590667 b	602005	613894	626108	634730	645397	660809
Netherlands	16829289	16900726	16979120	17081507	17181084	17282163	17407585	17475415	17590672	17811291
Norway	5109056	5165802	5213985	5258317	5295619	5328212	5367580	5391369	5425270	5488984
Poland	38017856	38005614	37967209	37972964	37976687	37972812	37958138	37073357 bep	36889761 ep	36753736 ep
Portugal	10427301	10374822	10341330	10309573	10291027	10276617	10295909	10298252	10352042 bp	10467366
Sweden	9644864	9747355	9851017	9995153	10120242	10230185	10327589	10379295	10452326	10521556
United Kingdom	64351203	64853393	65379044	65844142	66273576	66647112	67025542 p	: 	: 	: 
